Lab,Num,gGSP,RMSD,TM-score,INF_all,lDDT,Target,Type
ts029,2,17.632,25.938,0.252,0.483,0.382,CR1149,Viral element
ts029,3,18.59,27.307,0.27,0.614,0.452,CR1149,Viral element
ts029,4,18.177,25.729,0.244,0.461,0.416,CR1149,Viral element
ts035,1,39.143,19.916,0.285,0.808,0.636,CR1149,Viral element
ts035,2,51.916,14.241,0.308,0.821,0.659,CR1149,Viral element
ts035,3,80.372,7.964,0.47,0.839,0.672,CR1149,Viral element
ts035,4,40.745,14.45,0.331,0.832,0.653,CR1149,Viral element
ts035,5,53.515,11.63,0.325,0.83,0.671,CR1149,Viral element
ts054,1,63.497,8.663,0.454,0.812,0.685,CR1149,Viral element
ts054,2,44.589,21.04,0.303,0.806,0.676,CR1149,Viral element
ts054,3,55.668,16.78,0.281,0.771,0.083,CR1149,Viral element
ts054,4,57.744,19.299,0.325,0.817,0.062,CR1149,Viral element
ts054,5,43.792,15.071,0.269,0.83,0.61,CR1149,Viral element
ts076,1,59.284,13.669,0.339,0.859,0.712,CR1149,Viral element
ts076,2,56.133,14.621,0.32,0.861,0.712,CR1149,Viral element
ts076,3,50.067,21.124,0.312,0.83,0.676,CR1149,Viral element
ts076,4,40.54,18.147,0.267,0.848,0.67,CR1149,Viral element
ts076,5,60.043,11.259,0.515,0.852,0.717,CR1149,Viral element
ts081,1,44.706,19.392,0.311,0.765,0.629,CR1149,Viral element
ts081,2,45.505,18.183,0.305,0.785,0.601,CR1149,Viral element
ts081,3,44.403,19.518,0.294,0.763,0.609,CR1149,Viral element
ts081,4,55.686,18.996,0.369,0.762,0.66,CR1149,Viral element
ts081,5,52.135,24.638,0.292,0.777,0.647,CR1149,Viral element
ts097,1,3.864,32.586,0.226,0.399,0.238,CR1149,Viral element
ts097,2,3.781,30.075,0.206,0.24,0.225,CR1149,Viral element
ts110,1,51.054,21.718,0.325,0.785,0.578,CR1149,Viral element
ts110,2,61.739,6.884,0.536,0.784,0.626,CR1149,Viral element
ts110,3,50.169,17.832,0.3,0.781,0.63,CR1149,Viral element
ts110,4,41.695,14.071,0.36,0.78,0.638,CR1149,Viral element
ts119,1,60.529,14.785,0.393,0.826,0.698,CR1149,Viral element
ts119,2,52.848,20.553,0.302,0.831,0.709,CR1149,Viral element
ts119,3,54.904,13.116,0.427,0.821,0.719,CR1149,Viral element
ts119,4,50.207,22.231,0.292,0.818,0.671,CR1149,Viral element
ts119,5,65.744,13.816,0.393,0.783,0.711,CR1149,Viral element
ts125,1,50.022,21.718,0.314,0.776,0.63,CR1149,Viral element
ts125,2,52.457,16.474,0.364,0.833,0.664,CR1149,Viral element
ts125,3,66.542,7.648,0.408,0.827,0.68,CR1149,Viral element
ts125,4,46.513,14.662,0.278,0.841,0.625,CR1149,Viral element
ts125,5,44.678,18.729,0.321,0.777,0.105,CR1149,Viral element
ts128,1,70.937,7.355,0.504,0.728,0.574,CR1149,Viral element
ts128,2,58.321,19.515,0.297,0.824,0.693,CR1149,Viral element
ts128,3,50.738,13.576,0.368,0.779,0.665,CR1149,Viral element
ts128,4,64.95,9.284,0.444,0.815,0.683,CR1149,Viral element
ts128,5,56.747,20.011,0.344,0.81,0.696,CR1149,Viral element
ts131,1,3.88,44.61,0.147,0.615,0.057,CR1149,Viral element
ts131,2,3.759,39.82,0.268,0.606,0.022,CR1149,Viral element
ts131,3,4.197,36.768,0.226,0.534,0.046,CR1149,Viral element
ts131,4,10.835,34.305,0.209,0.6,0.049,CR1149,Viral element
ts131,5,3.956,34.125,0.202,0.474,0.024,CR1149,Viral element
ts147,1,57.076,16.845,0.346,0.85,0.686,CR1149,Viral element
ts147,2,55.221,17.182,0.359,0.857,0.668,CR1149,Viral element
ts147,3,56.274,17.477,0.331,0.854,0.687,CR1149,Viral element
ts147,4,53.147,20.079,0.346,0.85,0.661,CR1149,Viral element
ts147,5,58.395,18.065,0.36,0.858,0.696,CR1149,Viral element
ts177,1,8.178,28.421,0.143,0.398,0.003,CR1149,Viral element
ts185,1,50.347,20.967,0.346,0.802,0.672,CR1149,Viral element
ts185,2,50.019,20.453,0.345,0.785,0.654,CR1149,Viral element
ts185,3,49.904,21.054,0.34,0.807,0.675,CR1149,Viral element
ts185,4,50.409,21.424,0.324,0.77,0.657,CR1149,Viral element
ts185,5,48.855,19.634,0.309,0.78,0.665,CR1149,Viral element
ts227,1,58.019,18.381,0.359,0.851,0.675,CR1149,Viral element
ts227,2,57.552,18.842,0.319,0.842,0.677,CR1149,Viral element
ts227,3,55.08,18.813,0.341,0.832,0.667,CR1149,Viral element
ts227,4,54.71,16.04,0.342,0.869,0.683,CR1149,Viral element
ts227,5,52.632,18.904,0.345,0.839,0.675,CR1149,Viral element
ts229,1,47.863,14.629,0.325,0.791,0.622,CR1149,Viral element
ts229,2,44.892,13.944,0.284,0.736,0.604,CR1149,Viral element
ts229,3,50.747,16.149,0.35,0.813,0.633,CR1149,Viral element
ts229,4,32.398,15.624,0.294,0.786,0.618,CR1149,Viral element
ts229,5,36.617,14.366,0.289,0.797,0.618,CR1149,Viral element
ts232,1,50.106,18.62,0.276,0.782,0.655,CR1149,Viral element
ts232,2,49.943,17.891,0.284,0.789,0.652,CR1149,Viral element
ts232,3,49.82,17.849,0.293,0.785,0.652,CR1149,Viral element
ts232,4,60.083,24.1,0.373,0.819,0.696,CR1149,Viral element
ts232,5,64.51,10.437,0.419,0.84,0.701,CR1149,Viral element
ts235,1,42.215,21.011,0.334,0.792,0.063,CR1149,Viral element
ts235,2,46.26,18.48,0.362,0.76,0.029,CR1149,Viral element
ts235,3,39.883,18.382,0.334,0.792,0.068,CR1149,Viral element
ts235,4,40.835,19.904,0.324,0.766,0.033,CR1149,Viral element
ts235,5,43.959,20.494,0.318,0.77,0.055,CR1149,Viral element
ts238,1,51.554,17.43,0.319,0.735,0.016,CR1149,Viral element
ts239,1,46.547,14.975,0.323,0.794,0.627,CR1149,Viral element
ts239,2,36.853,16.825,0.256,0.794,0.633,CR1149,Viral element
ts239,3,40.239,15.731,0.262,0.8,0.613,CR1149,Viral element
ts239,4,37.931,15.618,0.322,0.685,0.584,CR1149,Viral element
ts239,5,35.002,18.101,0.283,0.806,0.628,CR1149,Viral element
ts245,1,9.474,22.133,0.24,0.485,0.371,CR1149,Viral element
ts245,2,12.551,23.133,0.204,0.553,0.408,CR1149,Viral element
ts245,3,12.308,17.016,0.242,0.576,0.413,CR1149,Viral element
ts245,4,12.606,18.752,0.232,0.584,0.44,CR1149,Viral element
ts245,5,7.653,25.661,0.207,0.504,0.346,CR1149,Viral element
ts248,1,68.292,14.454,0.331,0.783,0.651,CR1149,Viral element
ts248,2,54.837,25.271,0.352,0.817,0.652,CR1149,Viral element
ts248,3,63.487,15.573,0.457,0.823,0.681,CR1149,Viral element
ts248,4,47.787,18.379,0.375,0.853,0.644,CR1149,Viral element
ts248,5,37.49,20.612,0.307,0.793,0.608,CR1149,Viral element
ts287,1,63.424,14.188,0.352,0.729,0.654,CR1149,Viral element
ts287,2,55.05,18.906,0.347,0.815,0.676,CR1149,Viral element
ts287,3,56.135,16.072,0.39,0.824,0.689,CR1149,Viral element
ts287,4,54.57,14.019,0.348,0.84,0.693,CR1149,Viral element
ts287,5,46.334,22.028,0.31,0.796,0.641,CR1149,Viral element
ts385,1,10.622,22.248,0.241,0.545,0.393,CR1149,Viral element
ts385,2,12.636,23.129,0.208,0.553,0.362,CR1149,Viral element
ts385,3,14.014,16.954,0.245,0.532,0.406,CR1149,Viral element
ts385,4,13.419,18.894,0.228,0.64,0.474,CR1149,Viral element
ts385,5,8.483,25.646,0.205,0.483,0.343,CR1149,Viral element
ts392,1,44.964,14.686,0.319,0.752,0.61,CR1149,Viral element
ts392,2,39.286,21.399,0.261,0.693,0.523,CR1149,Viral element
ts392,3,4.359,32.207,0.259,0.504,0.324,CR1149,Viral element
ts392,4,48.491,12.68,0.311,0.778,0.628,CR1149,Viral element
ts392,5,39.19,24.187,0.361,0.798,0.313,CR1149,Viral element
ts416,1,53.336,17.201,0.307,0.794,0.311,CR1149,Viral element
ts416,2,48.741,14.751,0.284,0.821,0.616,CR1149,Viral element
ts416,3,66.542,7.648,0.408,0.827,0.68,CR1149,Viral element
ts416,4,46.513,14.662,0.278,0.841,0.625,CR1149,Viral element
ts416,5,44.678,18.729,0.321,0.777,0.105,CR1149,Viral element
ts434,1,53.855,16.395,0.345,0.855,0.648,CR1149,Viral element
ts434,2,55.788,17.241,0.361,0.843,0.681,CR1149,Viral element
ts434,3,45.556,16.519,0.325,0.854,0.672,CR1149,Viral element
ts434,4,55.21,18.348,0.363,0.862,0.669,CR1149,Viral element
ts434,5,53.995,18.166,0.31,0.839,0.675,CR1149,Viral element
ts470,1,48.01,17.642,0.245,0.749,0.036,CR1149,Viral element
ts470,2,48.647,16.557,0.242,0.756,0.079,CR1149,Viral element
ts470,3,48.221,17.889,0.278,0.77,0.022,CR1149,Viral element
ts470,4,48.455,17.342,0.244,0.754,0.071,CR1149,Viral element
ts470,5,48.637,15.324,0.298,0.742,0.035,CR1149,Viral element
ts489,1,48.01,17.642,0.245,0.749,0.036,CR1149,Viral element
ts489,2,48.647,16.557,0.242,0.756,0.079,CR1149,Viral element
ts489,3,48.221,17.889,0.278,0.77,0.022,CR1149,Viral element
ts489,4,48.455,17.342,0.244,0.754,0.071,CR1149,Viral element
ts489,5,48.637,15.324,0.298,0.742,0.035,CR1149,Viral element
ts029,1,6.333,25.013,0.299,0.387,0.291,CR1156,Viral element
ts029,2,4.604,27.434,0.189,0.236,0.263,CR1156,Viral element
ts029,3,7.59,26.963,0.212,0.486,0.361,CR1156,Viral element
ts029,4,6.491,25.068,0.265,0.305,0.266,CR1156,Viral element
ts029,5,5.756,35.745,0.203,0.47,0.327,CR1156,Viral element
ts035,1,37.46,19.171,0.327,0.831,0.622,CR1156,Viral element
ts035,2,36.863,16.149,0.284,0.807,0.662,CR1156,Viral element
ts035,3,38.324,14.986,0.314,0.809,0.677,CR1156,Viral element
ts035,4,34.224,20.46,0.293,0.854,0.607,CR1156,Viral element
ts035,5,35.317,15.449,0.29,0.828,0.618,CR1156,Viral element
ts054,1,30.682,25.301,0.278,0.834,0.623,CR1156,Viral element
ts054,2,37.498,16.218,0.339,0.815,0.665,CR1156,Viral element
ts054,3,37.071,15.67,0.299,0.864,0.637,CR1156,Viral element
ts054,4,26.888,20.217,0.32,0.654,0.074,CR1156,Viral element
ts054,5,33.373,20.86,0.333,0.821,0.575,CR1156,Viral element
ts076,1,31.12,19.692,0.295,0.785,0.628,CR1156,Viral element
ts076,2,30.756,21.029,0.278,0.817,0.625,CR1156,Viral element
ts076,3,24.242,25.867,0.302,0.738,0.525,CR1156,Viral element
ts076,4,32.8,12.22,0.388,0.826,0.627,CR1156,Viral element
ts076,5,30.877,26.05,0.303,0.821,0.645,CR1156,Viral element
ts081,1,30.348,23.715,0.269,0.825,0.597,CR1156,Viral element
ts081,2,27.099,23.604,0.289,0.812,0.573,CR1156,Viral element
ts081,3,27.228,21.617,0.255,0.79,0.563,CR1156,Viral element
ts081,4,33.449,17.041,0.344,0.795,0.604,CR1156,Viral element
ts081,5,27.039,24.498,0.211,0.827,0.576,CR1156,Viral element
ts097,1,3.054,36.104,0.147,0.272,0.217,CR1156,Viral element
ts097,2,3.027,35.656,0.139,0.218,0.203,CR1156,Viral element
ts097,3,3.084,33.406,0.179,0.283,0.212,CR1156,Viral element
ts110,1,40.824,12.888,0.412,0.795,0.614,CR1156,Viral element
ts110,2,36.052,25.894,0.356,0.81,0.655,CR1156,Viral element
ts110,3,35.668,24.111,0.358,0.797,0.642,CR1156,Viral element
ts110,4,37.819,13.939,0.365,0.754,0.551,CR1156,Viral element
ts110,5,31.121,17.26,0.296,0.745,0.184,CR1156,Viral element
ts119,1,30.54,25.422,0.312,0.845,0.658,CR1156,Viral element
ts119,2,36.74,12.823,0.372,0.82,0.653,CR1156,Viral element
ts119,3,38.701,12.137,0.379,0.848,0.658,CR1156,Viral element
ts119,4,36.489,14.842,0.315,0.818,0.684,CR1156,Viral element
ts119,5,25.917,18.089,0.292,0.774,0.559,CR1156,Viral element
ts125,1,23.251,26.919,0.282,0.651,0.505,CR1156,Viral element
ts125,2,24.133,25.728,0.309,0.721,0.513,CR1156,Viral element
ts125,3,32.129,16.796,0.303,0.807,0.619,CR1156,Viral element
ts125,4,26.888,20.217,0.32,0.654,0.074,CR1156,Viral element
ts125,5,34.344,22.911,0.256,0.853,0.077,CR1156,Viral element
ts128,1,41.696,7.438,0.447,0.8,0.668,CR1156,Viral element
ts128,2,36.45,17.223,0.331,0.828,0.671,CR1156,Viral element
ts128,3,34.561,26.16,0.244,0.841,0.662,CR1156,Viral element
ts128,4,24.487,23.612,0.287,0.731,0.542,CR1156,Viral element
ts128,5,53.069,5.361,0.664,0.728,0.633,CR1156,Viral element
ts131,2,3.204,37.519,0.141,0.505,0.068,CR1156,Viral element
ts131,4,3.298,45.477,0.232,0.504,0.057,CR1156,Viral element
ts131,5,3.314,39.555,0.209,0.476,0.042,CR1156,Viral element
ts147,1,23.49,25.092,0.294,0.681,0.51,CR1156,Viral element
ts147,2,25.578,18.852,0.311,0.698,0.529,CR1156,Viral element
ts147,3,24.559,24.943,0.259,0.723,0.518,CR1156,Viral element
ts147,4,24.731,21.028,0.283,0.704,0.515,CR1156,Viral element
ts147,5,24.423,24.013,0.246,0.744,0.487,CR1156,Viral element
ts177,1,8.836,22.989,0.191,0.469,0.006,CR1156,Viral element
ts185,1,31.21,19.391,0.263,0.72,0.556,CR1156,Viral element
ts185,2,22.135,22.951,0.225,0.663,0.492,CR1156,Viral element
ts185,3,23.174,20.034,0.24,0.717,0.528,CR1156,Viral element
ts185,4,22.97,21.957,0.228,0.679,0.484,CR1156,Viral element
ts185,5,12.123,24.648,0.315,0.549,0.393,CR1156,Viral element
ts227,1,23.073,27.311,0.321,0.69,0.534,CR1156,Viral element
ts227,2,23.056,21.593,0.267,0.677,0.492,CR1156,Viral element
ts227,3,26.334,17.746,0.357,0.728,0.519,CR1156,Viral element
ts227,4,27.747,23.442,0.346,0.693,0.515,CR1156,Viral element
ts227,5,24.092,24.226,0.268,0.679,0.516,CR1156,Viral element
ts229,1,31.214,16.561,0.353,0.668,0.43,CR1156,Viral element
ts229,2,27.407,19.009,0.262,0.597,0.455,CR1156,Viral element
ts229,3,21.731,18.596,0.311,0.657,0.466,CR1156,Viral element
ts229,4,23.878,17.496,0.341,0.678,0.471,CR1156,Viral element
ts229,5,21.818,20.652,0.324,0.699,0.474,CR1156,Viral element
ts232,1,30.019,25.259,0.305,0.847,0.621,CR1156,Viral element
ts232,2,29.922,25.638,0.305,0.844,0.621,CR1156,Viral element
ts232,3,40.143,7.59,0.431,0.87,0.619,CR1156,Viral element
ts232,4,30.248,20.587,0.295,0.826,0.6,CR1156,Viral element
ts232,5,29.912,22.584,0.304,0.818,0.614,CR1156,Viral element
ts235,1,28.922,20.557,0.338,0.716,0.04,CR1156,Viral element
ts235,2,29.65,20.058,0.305,0.685,0.048,CR1156,Viral element
ts235,3,28.896,19.924,0.342,0.648,0.021,CR1156,Viral element
ts235,4,27.858,22.613,0.275,0.698,0.052,CR1156,Viral element
ts235,5,26.976,19.716,0.265,0.726,0.026,CR1156,Viral element
ts238,1,27.583,22.4,0.315,0.592,0.003,CR1156,Viral element
ts238,3,27.77,22.738,0.293,0.571,0.012,CR1156,Viral element
ts238,4,27.923,22.096,0.285,0.506,0.004,CR1156,Viral element
ts239,1,31.214,16.561,0.353,0.668,0.43,CR1156,Viral element
ts239,2,26.665,25.076,0.303,0.63,0.512,CR1156,Viral element
ts239,3,21.818,20.652,0.324,0.699,0.474,CR1156,Viral element
ts239,4,22.107,26.26,0.252,0.718,0.478,CR1156,Viral element
ts239,5,21.731,18.596,0.311,0.657,0.466,CR1156,Viral element
ts245,1,5.996,25.106,0.192,0.577,0.336,CR1156,Viral element
ts245,2,6.267,20.571,0.25,0.558,0.356,CR1156,Viral element
ts245,3,5.893,30.605,0.169,0.582,0.335,CR1156,Viral element
ts245,4,7.145,25.274,0.258,0.535,0.375,CR1156,Viral element
ts245,5,6.072,29.049,0.185,0.591,0.338,CR1156,Viral element
ts248,1,37.46,19.171,0.327,0.831,0.622,CR1156,Viral element
ts248,2,36.863,16.149,0.284,0.807,0.662,CR1156,Viral element
ts248,3,38.514,15.304,0.332,0.834,0.651,CR1156,Viral element
ts248,4,35.317,15.449,0.29,0.828,0.618,CR1156,Viral element
ts248,5,3.283,30.678,0.245,0.432,0.305,CR1156,Viral element
ts287,1,42.642,11.026,0.435,0.848,0.685,CR1156,Viral element
ts287,2,31.569,22.924,0.317,0.842,0.624,CR1156,Viral element
ts287,3,31.893,25.387,0.299,0.786,0.617,CR1156,Viral element
ts287,4,30.813,24.678,0.24,0.842,0.62,CR1156,Viral element
ts287,5,35.974,21.114,0.299,0.817,0.659,CR1156,Viral element
ts385,1,5.996,25.106,0.192,0.577,0.336,CR1156,Viral element
ts392,1,28.735,22.726,0.246,0.808,0.578,CR1156,Viral element
ts392,2,34.591,24.442,0.334,0.804,0.659,CR1156,Viral element
ts392,3,31.735,14.853,0.298,0.784,0.602,CR1156,Viral element
ts392,4,26.628,24.573,0.27,0.736,0.571,CR1156,Viral element
ts392,5,30.335,14.795,0.263,0.713,0.585,CR1156,Viral element
ts416,1,31.676,17.642,0.296,0.785,0.577,CR1156,Viral element
ts416,2,23.251,26.919,0.282,0.651,0.505,CR1156,Viral element
ts416,3,33.577,22.867,0.324,0.812,0.35,CR1156,Viral element
ts416,4,31.773,21.08,0.313,0.787,0.441,CR1156,Viral element
ts416,5,26.888,20.217,0.32,0.654,0.074,CR1156,Viral element
ts434,1,25.259,20.59,0.299,0.717,0.512,CR1156,Viral element
ts434,2,27.877,24.817,0.305,0.685,0.522,CR1156,Viral element
ts434,3,29.454,16.649,0.377,0.714,0.536,CR1156,Viral element
ts434,4,25.819,31.636,0.302,0.706,0.513,CR1156,Viral element
ts434,5,24.964,22.042,0.251,0.71,0.499,CR1156,Viral element
ts439,1,27.407,19.009,0.262,0.597,0.455,CR1156,Viral element
ts439,2,31.969,14.096,0.368,0.677,0.556,CR1156,Viral element
ts439,3,30.43,23.883,0.319,0.709,0.576,CR1156,Viral element
ts439,4,31.214,16.561,0.353,0.668,0.43,CR1156,Viral element
ts439,5,27.553,20.98,0.306,0.583,0.334,CR1156,Viral element
ts470,1,34.648,15.648,0.306,0.719,0.045,CR1156,Viral element
ts470,2,34.89,15.746,0.304,0.738,0.043,CR1156,Viral element
ts470,3,35.508,15.414,0.308,0.732,0.038,CR1156,Viral element
ts470,4,34.076,15.732,0.303,0.791,0.016,CR1156,Viral element
ts470,5,35.838,15.538,0.306,0.752,0.04,CR1156,Viral element
ts489,1,34.648,15.648,0.306,0.719,0.045,CR1156,Viral element
ts489,2,34.89,15.746,0.304,0.738,0.043,CR1156,Viral element
ts489,3,35.508,15.414,0.308,0.732,0.038,CR1156,Viral element
ts489,4,34.076,15.732,0.303,0.791,0.016,CR1156,Viral element
ts489,5,35.838,15.538,0.306,0.752,0.04,CR1156,Viral element
ts029,1,8.739,30.666,0.169,0.374,0.307,CR1189,RNA-binding protein
ts029,2,5.486,22.806,0.205,0.315,0.314,CR1189,RNA-binding protein
ts029,3,6.585,29.996,0.168,0.344,0.317,CR1189,RNA-binding protein
ts035,1,24.904,28.001,0.218,0.584,0.497,CR1189,RNA-binding protein
ts035,2,24.904,28.001,0.218,0.584,0.497,CR1189,RNA-binding protein
ts035,3,24.648,24.872,0.261,0.623,0.523,CR1189,RNA-binding protein
ts035,4,19.286,22.171,0.22,0.553,0.458,CR1189,RNA-binding protein
ts035,5,19.286,22.171,0.22,0.553,0.458,CR1189,RNA-binding protein
ts054,1,20.808,29.182,0.196,0.617,0.479,CR1189,RNA-binding protein
ts054,2,20.808,29.182,0.196,0.617,0.479,CR1189,RNA-binding protein
ts054,3,20.808,29.182,0.196,0.617,0.479,CR1189,RNA-binding protein
ts054,4,20.808,29.182,0.196,0.617,0.479,CR1189,RNA-binding protein
ts054,5,24.815,28.909,0.196,0.627,0.49,CR1189,RNA-binding protein
ts076,1,21.515,27.157,0.235,0.575,0.495,CR1189,RNA-binding protein
ts076,2,21.265,27.473,0.236,0.568,0.484,CR1189,RNA-binding protein
ts076,3,21.319,29.675,0.238,0.531,0.443,CR1189,RNA-binding protein
ts076,4,19.291,27.215,0.246,0.576,0.46,CR1189,RNA-binding protein
ts076,5,24.217,26.484,0.257,0.624,0.486,CR1189,RNA-binding protein
ts081,1,29.842,20.317,0.275,0.636,0.545,CR1189,RNA-binding protein
ts081,2,31.101,18.704,0.262,0.63,0.536,CR1189,RNA-binding protein
ts081,3,29.989,20.394,0.231,0.646,0.542,CR1189,RNA-binding protein
ts081,4,29.584,20.856,0.197,0.629,0.538,CR1189,RNA-binding protein
ts081,5,30.833,23.443,0.258,0.643,0.539,CR1189,RNA-binding protein
ts097,1,23.443,32.53,0.177,0.544,0.405,CR1189,RNA-binding protein
ts097,2,19.945,27.289,0.186,0.343,0.383,CR1189,RNA-binding protein
ts119,1,26.862,22.41,0.237,0.647,0.533,CR1189,RNA-binding protein
ts119,2,27.796,19.36,0.252,0.654,0.548,CR1189,RNA-binding protein
ts119,3,29.325,19.703,0.236,0.65,0.553,CR1189,RNA-binding protein
ts119,4,27.819,21.067,0.231,0.676,0.552,CR1189,RNA-binding protein
ts119,5,27.615,21.306,0.248,0.623,0.522,CR1189,RNA-binding protein
ts125,1,20.808,29.182,0.196,0.617,0.479,CR1189,RNA-binding protein
ts125,2,20.808,29.182,0.196,0.617,0.479,CR1189,RNA-binding protein
ts125,3,20.808,29.182,0.196,0.617,0.479,CR1189,RNA-binding protein
ts125,4,20.808,29.182,0.196,0.617,0.479,CR1189,RNA-binding protein
ts125,5,20.808,29.182,0.196,0.617,0.479,CR1189,RNA-binding protein
ts131,1,28.205,24.905,0.251,0.658,0.519,CR1189,RNA-binding protein
ts131,2,30.068,26.44,0.281,0.619,0.513,CR1189,RNA-binding protein
ts131,3,29.795,25.931,0.261,0.654,0.52,CR1189,RNA-binding protein
ts131,4,30.584,27.497,0.256,0.632,0.516,CR1189,RNA-binding protein
ts131,5,29.645,22.414,0.257,0.645,0.53,CR1189,RNA-binding protein
ts147,1,19.826,30.427,0.241,0.39,0.403,CR1189,RNA-binding protein
ts147,2,26.188,23.753,0.273,0.621,0.476,CR1189,RNA-binding protein
ts147,3,22.774,19.319,0.224,0.546,0.456,CR1189,RNA-binding protein
ts147,4,22.182,18.925,0.207,0.487,0.442,CR1189,RNA-binding protein
ts147,5,25.827,26.128,0.22,0.577,0.457,CR1189,RNA-binding protein
ts177,1,14.853,24.944,0.232,0.521,0.038,CR1189,RNA-binding protein
ts177,2,12.276,28.46,0.14,0.413,0.01,CR1189,RNA-binding protein
ts177,3,15.488,24.819,0.229,0.505,0.018,CR1189,RNA-binding protein
ts185,1,19.438,30.343,0.199,0.594,0.458,CR1189,RNA-binding protein
ts185,2,16.783,29.302,0.168,0.542,0.43,CR1189,RNA-binding protein
ts185,3,17.37,29.597,0.174,0.572,0.456,CR1189,RNA-binding protein
ts185,4,15.569,29.23,0.18,0.579,0.434,CR1189,RNA-binding protein
ts185,5,19.573,26.233,0.17,0.6,0.459,CR1189,RNA-binding protein
ts227,1,25.331,26.114,0.226,0.601,0.488,CR1189,RNA-binding protein
ts227,2,22.741,23.293,0.269,0.554,0.435,CR1189,RNA-binding protein
ts227,3,21.635,27.273,0.195,0.532,0.451,CR1189,RNA-binding protein
ts227,4,24.805,26.936,0.25,0.598,0.459,CR1189,RNA-binding protein
ts227,5,21.348,28.337,0.246,0.457,0.453,CR1189,RNA-binding protein
ts229,1,25.455,22.394,0.212,0.585,0.52,CR1189,RNA-binding protein
ts229,2,24.441,16.604,0.213,0.639,0.515,CR1189,RNA-binding protein
ts229,3,26.062,16.295,0.211,0.634,0.537,CR1189,RNA-binding protein
ts229,4,30.027,26.535,0.23,0.609,0.477,CR1189,RNA-binding protein
ts229,5,26.247,28.416,0.206,0.621,0.508,CR1189,RNA-binding protein
ts232,1,25.737,21.998,0.226,0.622,0.499,CR1189,RNA-binding protein
ts232,2,26.616,21.983,0.237,0.636,0.506,CR1189,RNA-binding protein
ts232,3,25.024,22.263,0.233,0.575,0.479,CR1189,RNA-binding protein
ts232,4,26.523,25.781,0.277,0.621,0.495,CR1189,RNA-binding protein
ts232,5,26.632,22.992,0.209,0.61,0.48,CR1189,RNA-binding protein
ts235,1,22.32,26.873,0.247,0.55,0.026,CR1189,RNA-binding protein
ts235,2,20.654,22.842,0.249,0.47,0.02,CR1189,RNA-binding protein
ts235,3,28.691,23.995,0.211,0.611,0.062,CR1189,RNA-binding protein
ts235,4,21.405,26.034,0.237,0.525,0.059,CR1189,RNA-binding protein
ts235,5,23.033,25.85,0.191,0.56,0.036,CR1189,RNA-binding protein
ts238,1,25.907,23.024,0.227,0.574,0.053,CR1189,RNA-binding protein
ts239,1,25.455,22.394,0.212,0.585,0.52,CR1189,RNA-binding protein
ts239,2,24.441,16.604,0.213,0.639,0.515,CR1189,RNA-binding protein
ts239,3,26.062,16.295,0.211,0.634,0.537,CR1189,RNA-binding protein
ts239,4,30.027,26.535,0.23,0.609,0.477,CR1189,RNA-binding protein
ts239,5,26.247,28.416,0.206,0.621,0.508,CR1189,RNA-binding protein
ts245,1,9.884,27.756,0.15,0.473,0.395,CR1189,RNA-binding protein
ts245,2,12.954,26.338,0.19,0.488,0.408,CR1189,RNA-binding protein
ts245,3,10.81,27.451,0.175,0.528,0.409,CR1189,RNA-binding protein
ts245,4,11.081,28.158,0.137,0.503,0.411,CR1189,RNA-binding protein
ts245,5,11.414,26.69,0.192,0.46,0.387,CR1189,RNA-binding protein
ts257,1,21.758,26.43,0.24,0.602,0.472,CR1189,RNA-binding protein
ts257,2,26.758,25.854,0.249,0.596,0.481,CR1189,RNA-binding protein
ts257,3,24.761,26.788,0.231,0.611,0.475,CR1189,RNA-binding protein
ts257,4,27.032,26.176,0.223,0.625,0.472,CR1189,RNA-binding protein
ts257,5,24.291,26.083,0.227,0.639,0.472,CR1189,RNA-binding protein
ts287,1,27.04,21.2,0.217,0.645,0.537,CR1189,RNA-binding protein
ts287,2,28.934,24.041,0.231,0.671,0.533,CR1189,RNA-binding protein
ts287,3,27.367,21.67,0.26,0.682,0.535,CR1189,RNA-binding protein
ts287,4,30.357,25.236,0.248,0.643,0.529,CR1189,RNA-binding protein
ts287,5,30.236,27.591,0.26,0.661,0.543,CR1189,RNA-binding protein
ts385,1,9.884,27.756,0.15,0.473,0.395,CR1189,RNA-binding protein
ts392,1,26.397,20.551,0.253,0.595,0.502,CR1189,RNA-binding protein
ts392,2,21.823,23.52,0.202,0.622,0.483,CR1189,RNA-binding protein
ts392,3,26.082,21.795,0.208,0.629,0.491,CR1189,RNA-binding protein
ts392,4,26.717,21.289,0.254,0.617,0.498,CR1189,RNA-binding protein
ts392,5,25.154,22.415,0.233,0.605,0.476,CR1189,RNA-binding protein
ts434,1,18.455,33.416,0.178,0.436,0.391,CR1189,RNA-binding protein
ts434,2,22.122,28.268,0.246,0.435,0.398,CR1189,RNA-binding protein
ts434,3,20.938,29.23,0.178,0.552,0.42,CR1189,RNA-binding protein
ts434,4,23.58,25.63,0.238,0.572,0.465,CR1189,RNA-binding protein
ts434,5,24.242,30.777,0.184,0.525,0.474,CR1189,RNA-binding protein
ts439,1,15.333,21.318,0.233,0.347,0.15,CR1189,RNA-binding protein
ts439,2,17.418,24.861,0.251,0.366,0.239,CR1189,RNA-binding protein
ts439,3,26.062,16.295,0.211,0.634,0.537,CR1189,RNA-binding protein
